ticker;filing_day;filedAt;entry_datetime;entry_price;entry_price_news;kind;horizon_days;ret_open_%;ret_news_%;exit_open_price;exit_news_price
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;mean;7;2.09;-0.68;58.22046875000001;58.22046875000001
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;high;10;8.08;5.15;61.638;61.6403
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;low;10;-3.28;-5.9;55.1594;55.1626
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;mean;10;2.42;-0.36;58.41011136363637;58.41011136363637
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;high;14;16.38;13.22;66.3715;66.371
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;low;14;-3.28;-5.9;55.1594;55.1626
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;mean;14;4.15;1.32;59.397248333333344;59.397248333333344
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;high;30;18.34;15.13;67.4893;67.4907
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;low;30;-3.28;-5.9;55.1594;55.1626
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;mean;30;5.31;2.45;60.05724916666666;60.05724916666666
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;high;60;18.34;15.13;67.4893;67.4907
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;low;60;-7.07;-9.59;52.998;52.9995
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;mean;60;3.7;0.89;59.14152333333334;59.14152333333334
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;high;90;18.34;15.13;67.4893;67.4907
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;low;90;-14.5;-16.82;48.7606;48.7612
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;mean;90;0.6;-2.13;57.37495574712646;57.37495574712646
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;high;1;8.48;10.02;45.5508;45.5483
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;low;1;0.0;1.43;41.99;41.992
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;mean;1;3.57;5.05;43.489374999999995;43.489374999999995
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;high;2;13.41;15.02;47.6209;47.6183
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;low;2;0.0;1.43;41.99;41.992
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;mean;2;5.92;7.43;44.477083333333326;44.477083333333326
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;high;3;16.69;18.36;48.9981;49.001
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;low;3;0.0;1.43;41.99;41.992
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;mean;3;7.93;9.47;45.32156249999999;45.32156249999999
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;high;5;21.91;23.65;51.19;51.1911
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;low;5;0.0;1.43;41.99;41.992
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;mean;5;10.93;12.51;46.57839999999999;46.57839999999999
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;high;7;23.43;25.19;51.8283;51.8287
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;low;7;0.0;1.43;41.99;41.992
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;mean;7;12.39;13.99;47.192081249999994;47.192081249999994
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;high;10;23.43;25.19;51.8283;51.8287
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;low;10;0.0;1.43;41.99;41.992
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;mean;10;13.07;14.68;47.476286363636355;47.476286363636355
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;high;14;23.43;25.19;51.8283;51.8287
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;low;14;0.0;1.43;41.99;41.992
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;mean;14;12.89;14.49;47.40060999999999;47.40060999999999
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;high;30;23.43;25.19;51.8283;51.8287
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;low;30;0.0;1.43;41.99;41.992
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;mean;30;11.97;13.57;47.01753083333333;47.01753083333333
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;high;60;23.43;25.19;51.8283;51.8287
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;low;60;-16.46;-15.27;35.0784;35.0782
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;mean;60;2.99;4.46;43.24672416666667;43.24672416666667
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;high;90;23.43;25.19;51.8283;51.8287
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;low;90;-23.55;-22.46;32.1014;32.1016
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;mean;90;-2.66;-1.27;40.8745117816092;40.8745117816092
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;high;1;1.3;1.08;72.784;72.7877
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;low;1;-2.27;-2.49;70.219;70.217
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;mean;1;-0.44;-0.66;71.53125;71.53125
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;high;2;1.3;1.08;72.784;72.7877
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;low;2;-2.27;-2.49;70.219;70.217
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;mean;2;-0.31;-0.53;71.62666666666667;71.62666666666667
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;high;3;1.49;1.26;72.9206;72.9173
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;low;3;-2.27;-2.49;70.219;70.217
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;mean;3;-0.24;-0.46;71.6796875;71.6796875
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;high;5;1.49;1.26;72.9206;72.9173
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;low;5;-2.27;-2.49;70.219;70.217
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;mean;5;-0.25;-0.47;71.67020833333333;71.67020833333333
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;high;7;3.55;3.32;74.4007;74.4007
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;low;7;-2.27;-2.49;70.219;70.217
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;mean;7;0.07;-0.15;71.90078125;71.90078125
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;high;10;3.55;3.32;74.4007;74.4007
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;low;10;-2.27;-2.49;70.219;70.217
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;mean;10;0.4;0.18;72.13920454545455;72.13920454545455
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;high;14;3.55;3.32;74.4007;74.4007
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;low;14;-2.34;-2.56;70.1687;70.1665
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;mean;14;-0.01;-0.23;71.84291666666667;71.84291666666667
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;high;30;3.55;3.32;74.4007;74.4007
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;low;30;-5.25;-5.46;68.0779;68.0783
